ID,Username,Time,Geo,Language,Text,Hashtags
0,893403872852557825,2022-04-20 13:48:11+00:00,,en,"RT @Qlt2YgbEJ3yXGw4: #乌克兰难民救援信息 #Ukraine Refugee Relief Information https://t.co/yytB1q1Ktv","{'Ukraine', '乌克兰难民救援信息'}"
1,1490683888431099904,2022-04-20 13:48:11+00:00,,und,@ServiceSsu #Ukraine #PutinHitler #StopPutinNOW #StopPutin $200 million of weaponry will kill lots of russian soldiers! Слава Україні! Смерть путіну!,"{'StopPutinNOW', 'StopPutin', 'PutinHitler', 'Ukraine'}"
2,1707521594,2022-04-20 13:48:11+00:00,,en,"RT @lesiavasylenko: 919 #Ukraine towns and villages were deoccupied. 3000 still remain besieged, surrounded and under attack. The war goes…",{'Ukraine'}
3,1495889730688458752,2022-04-20 13:48:11+00:00,,en,RT @HannaLiubakova: #Ukraine 70-year-old Nadiya Trubchninova hitchhiked daily to Bucha seeking her son's body. It took her more than a week…,{'Ukraine'}
4,1505619449432399872,2022-04-20 13:48:10+00:00,,it,"🎾Gli organizzatori di #Wimbledon  hanno in programma di vietare a tutti i tennisti di #Russia  e #Bielorussia di partecipare al torneo, secondo il #NewYorkTimes , citando le proprie fonti
Wimbledon è il più antico...
#SupportUkraine https://t.co/MKQ2ohOANf","{'NewYorkTimes', 'Bielorussia', 'Russia', 'SupportUkraine', 'Wimbledon'}"
